record_id,thermoreg_reading,enzyme_activity_index,dual_lobe_signal,stress_variability,habitat_zone,activity_score,fasting_flag,health_outcome,station_code,ingest_marker,calibration_tag,diagnostic_noise,thermoreg_reading_fahrenheit
P22042111,52.6,97.0,3.6,-3.5,c2,2.0,0.0,1,Z-WHH,1.0,A,0.4820884091527393,34.742453717789886
P21571318,41.8,105.0,3.4000000000000004,10.5,c1,2.0,0.0,0,Z-EAT,1.0,A,,
P81737259,56.2,126.0,5.5,9.6,c2,5.0,0.0,0,Z-IPF,1.0,A,-0.747352283479433,38.75406076225811
P54935007,57.7,106.0,-4.1000000000000005,-4.0,c1,4.0,0.0,1,Z-FKO,1.0,A,0.5704775648537789,40.46508244752093
P63102956,34.5,73.0,2.3000000000000003,0.3,c4,5.0,1.0,1,Z-SVY,1.0,A,-0.310844030276356,
P64134852,39.7,69.0,-1.2000000000000002,5.1000000000000005,c4,2.0,1.0,0,Z-WAH,1.0,A,1.416905769285914,20.28038443823914
P74095503,51.2,94.0,-1.7000000000000002,3.8,c2,3.0,1.0,1,Z-YDK,1.0,A,-1.3471864659603288,33.150563628505566
P12582010,47.6,113.0,0.4,-4.4,c5,3.0,1.0,1,Z-SFR,1.0,A,-0.5544779770462672,
P53695296,50.0,80.0,-2.6,,c3,,1.0,0,Z-DCX,1.0,A,-0.8201938884998609,31.8487895824614
P23313347,43.3,71.0,0.4,-2.0,c4,3.0,1.0,0,Z-DJJ,1.0,A,0.2806745894613568,24.32260465183778
P93538992,57.2,70.0,-2.5,-4.9,c4,2.0,1.0,1,Z-COP,1.0,A,-0.7004690298097328,39.914581773765455
P59297768,56.400000000000006,128.0,3.5,0.8,c1,1.0,0.0,1,Z-HNJ,1.0,A,0.9306181388595776,39.00012741886054
P16337851,50.7,93.0,2.1,-0.2,c4,5.0,0.0,1,Z-HUU,1.0,A,1.8382366692724104,32.59427627805094
