thermoreg_reading,enzyme_activity_index,dual_lobe_signal,stress_variability,habitat_zone,activity_score,fasting_flag,health_outcome
52.6,97.0,3.6,-3.5,c2,2.0,0.0,1
41.8,105.0,3.4000000000000004,10.5,c1,2.0,0.0,0
56.2,126.0,5.5,9.6,c2,5.0,0.0,0
57.7,106.0,-4.1000000000000005,-4.0,c1,4.0,0.0,1
34.5,73.0,2.3000000000000003,0.3,c4,5.0,1.0,1
39.7,69.0,-1.2000000000000002,5.1000000000000005,c4,2.0,1.0,0
51.2,94.0,-1.7000000000000002,3.8,c2,3.0,1.0,1
47.6,113.0,NA,-4.4,c5,3.0,1.0,1
50.0,80.0,-2.6,-2.8000000000000003,c3,2.0,1.0,0
43.3,71.0,0.4,-2.0,c4,3.0,1.0,0
NA,70.0,-2.5,-4.9,c4,2.0,1.0,1
56.400000000000006,128.0,3.5,0.8,c1,1.0,0.0,1
50.7,93.0,2.1,-0.2,c4,5.0,0.0,1
59.2,82.0,0.2,-0.6000000000000001,c1,5.0,1.0,1
53.900000000000006,129.0,-1.3,-1.8,c5,4.0,0.0,1
43.3,86.0,3.1,7.2,c2,2.0,0.0,0
53.1,84.0,4.3,-1.3,c3,1.0,0.0,0
42.5,110.0,3.9,5.9,c1,2.0,0.0,1
57.2,102.0,5.5,-1.3,c1,5.0,1.0,1
49.8,56.0,1.0,0.2,c1,2.0,1.0,1
48.7,122.0,1.8,4.4,c1,2.0,NA,0
44.7,67.0,0.5,1.2000000000000002,c2,4.0,1.0,0
59.900000000000006,197.0,3.5,0.1,c1,3.0,1.0,0
48.900000000000006,85.0,-2.2,-2.3000000000000003,c5,4.0,0.0,1
46.7,39.0,2.4000000000000004,7.5,c4,3.0,NA,1
47.3,141.0,4.9,0.2,c2,3.0,1.0,0
54.400000000000006,105.0,7.9,7.800000000000001,c4,5.0,1.0,0
53.1,111.0,4.6000000000000005,6.5,c2,2.0,0.0,0
53.5,115.0,0.5,-2.8000000000000003,c5,1.0,1.0,1
53.6,NA,-1.8,4.2,c3,3.0,1.0,1
NA,69.0,1.5,8.5,c3,3.0,0.0,0
46.900000000000006,146.0,2.2,4.9,c1,3.0,0.0,0
46.1,50.0,1.4,4.2,c3,3.0,0.0,0
43.6,132.0,-0.3,-9.2,c3,3.0,0.0,0
NA,121.0,3.0,-4.6000000000000005,c1,3.0,0.0,1
59.2,119.0,5.0,2.4000000000000004,c1,5.0,0.0,0
49.2,85.0,5.7,0.6000000000000001,c4,1.0,1.0,1
43.400000000000006,150.0,2.8000000000000003,3.5,c5,5.0,1.0,1
43.6,69.0,5.9,-8.5,c3,3.0,1.0,0
55.400000000000006,90.0,-0.7000000000000001,0.4,c1,1.0,1.0,1
56.1,127.0,-0.2,-2.6,c2,1.0,1.0,1
54.5,88.0,-1.6,-5.300000000000001,c1,3.0,0.0,1
44.8,63.0,6.800000000000001,12.4,c4,4.0,NA,0
52.0,101.0,0.0,-2.9000000000000004,c1,3.0,0.0,1
51.1,119.0,4.7,-4.3,c1,3.0,1.0,1
51.900000000000006,153.0,5.7,5.300000000000001,c2,2.0,0.0,0
57.1,167.0,4.7,4.1000000000000005,c3,3.0,1.0,0
51.900000000000006,54.0,3.3000000000000003,0.5,c4,5.0,1.0,1
55.6,136.0,3.1,11.0,c2,3.0,0.0,0
50.7,73.0,5.800000000000001,4.4,c1,4.0,0.0,1
52.5,78.0,-1.0,1.8,c1,1.0,1.0,1
55.2,93.0,-4.4,-4.1000000000000005,c3,3.0,0.0,1
38.5,63.0,3.7,7.1000000000000005,c1,4.0,NA,1
47.6,66.0,4.800000000000001,1.2000000000000002,c3,4.0,0.0,0
46.400000000000006,30.0,-2.6,-8.4,c2,3.0,0.0,0
45.0,129.0,2.3000000000000003,3.6,c2,3.0,0.0,0
48.0,120.0,NA,-2.1,c1,1.0,1.0,1
62.1,119.0,4.1000000000000005,5.300000000000001,c4,2.0,0.0,0
43.2,61.0,4.9,0.1,c3,4.0,0.0,0
57.900000000000006,145.0,2.6,2.7,c2,4.0,1.0,0
36.7,75.0,NA,-10.4,c2,1.0,0.0,0
47.5,79.0,6.6000000000000005,2.1,c2,5.0,0.0,0
51.5,57.0,2.0,-2.9000000000000004,c2,5.0,0.0,1
54.900000000000006,121.0,0.5,1.0,c4,2.0,1.0,1
55.900000000000006,100.0,5.1000000000000005,0.8,c2,1.0,1.0,1
56.5,117.0,3.7,-4.2,c1,2.0,NA,1
47.400000000000006,99.0,-1.7000000000000002,-5.5,c5,5.0,1.0,1
46.5,110.0,6.7,6.800000000000001,c2,3.0,NA,0
57.0,116.0,3.2,1.8,c1,2.0,0.0,0
48.6,88.0,4.2,-1.1,c1,5.0,1.0,1
39.900000000000006,97.0,3.3000000000000003,4.9,c2,1.0,1.0,0
41.1,109.0,4.1000000000000005,8.6,c3,5.0,0.0,0
42.8,128.0,4.1000000000000005,5.800000000000001,c5,4.0,0.0,1
54.1,76.0,-2.0,-13.2,c1,2.0,0.0,0
NA,131.0,3.1,2.2,c2,4.0,0.0,0
55.7,66.0,4.0,1.3,c1,4.0,0.0,1
46.7,121.0,NA,-11.0,c2,3.0,0.0,0
51.400000000000006,85.0,0.4,-6.7,c3,4.0,0.0,0
55.2,130.0,3.5,4.800000000000001,c1,3.0,0.0,0
47.7,135.0,4.6000000000000005,3.2,c5,4.0,1.0,1
53.8,111.0,2.9000000000000004,1.3,c1,4.0,0.0,1
44.900000000000006,90.0,2.7,-2.0,c3,5.0,0.0,0
47.3,93.0,-3.6,-0.2,c3,4.0,0.0,1
47.1,83.0,2.8000000000000003,-4.3,c2,5.0,0.0,0
40.6,115.0,3.6,-2.2,c4,2.0,NA,1
54.1,104.0,0.0,-2.9000000000000004,c3,2.0,NA,0
46.400000000000006,35.0,5.300000000000001,-3.4000000000000004,c3,3.0,0.0,0
50.3,124.0,3.0,-2.7,c2,2.0,1.0,0
54.0,129.0,1.1,3.9,c3,5.0,1.0,0
